location,cpu,monitor,cable
Ajusco,MZ035QPB,V5XF3263,CREDCFCRL_0172
Ajusco,MZ035QPQ,V5XF2YZY,CREDCFCRL_0173
Ajusco,MZ035QN9,V5XF2YZZ,CREDCFCRL_0174
Ajusco,MZ035QL7,V5XF2YZW,CREDCFCRL_0175
Ajusco,MZ035QP0,V5XF2Z02,CREDCFCRL_0176
Ajusco,MZ035QPV,V5XF2YZT,CREDCFCRL_0177
Ajusco,MZ035QNW,V5XF31Z0,CREDCFCRL_0178
Ajusco,MZ035QPP,V5XF2Y47,CREDCFCRL_0179
Ajusco,MZ035QNL,V5XF2NKR,CREDCFCRL_0180
Ajusco,MZ035QP5,V5XF2NKW,CREDCFCRL_0181
Ajusco,MZ035QGN,V5XF2Y72,CREDCFCRL_0182
Ajusco,MZ035QND,V5XF2Y71,CREDCFCRL_0183
Ajusco,MZ035QKT,V5XF2NKT,CREDCFCRL_0184
Ajusco,MZ035QKZ,V5XF2NKV,CREDCFCRL_0185
Ajusco,MZ035QNC,V5XF2NKM,CREDCFCRL_0186
Ajusco,MZ035QNA,V5XF2NKL,CREDCFCRL_0187
Ajusco,MZ035QPA,V5XF2NLD,CREDCFCRL_0188
Ajusco,MZ035QN3,V5XF2NL8,CREDCFCRL_0189
Ajusco,MZ035QP9,V5XF2NK5,CREDCFCRL_0190
Ajusco,MZ035QPK,V5XF2NLA,CREDCFCRL_0191
Ajusco,MZ035QNF,V5XF2NLF,CREDCFCRL_0192
Ajusco,MZ035QNQ,V5XF2NKD,CREDCFCRL_0193
Ajusco,MZ035QN6,V5XF2NK4,CREDCFCRL_0194
Ajusco,MZ035QNG,V5XF2NKG,CREDCFCRL_0195
Ajusco,MZ035QNR,V5XF2NK0,CREDCFCRL_0196
Ajusco,MZ035QP1,V5XF2NKH,CREDCFCRL_0197
Ajusco,MZ035QNB,V5XF2NKK,CREDCFCRL_0198
Ajusco,MZ035QPT,V5XF2NKC,CREDCFCRL_0199
Ajusco,MZ035QMW,V5XF2NK1,CREDCFCRL_0200
Ajusco,MZ035QR1,V5XF745B,CREDCFCRL_0280
Ajusco,MZ035QR9,V5XF745P,CREDCFCRL_0281
Ajusco,MZ035QSP,V5XF745T,CREDCFCRL_0282
Ajusco,MZ035QQE,V5XF745K,CREDCFCRL_0283
Ajusco,MZ035QV4,V5XF745L,CREDCFCRL_0284
Ajusco,MZ035QV5,V5XF745F,CREDCFCRL_0285
Ajusco,MZ035QWA,V5XF745H,CREDCFCRL_0286
Ajusco,MZ035QQB,V5XF7457,CREDCFCRL_0287
Ajusco,MZ035QVN,V5XF7456,CREDCFCRL_0288
Ajusco,MZ035QTV,V5XF7455,CREDCFCRL_0289
Ajusco,MZ035QW0,V5XF747T,CREDCFCRL_0290
Ajusco,MZ035QK7,V5XF744Z,CREDCFCRL_0291
Ajusco,MZ035QNM,V5XF7454,CREDCFCRL_0292
Ajusco,MZ035QEP,V5XF7452,CREDCFCRL_0293
Ajusco,MZ035Q8S,V5XF747F,CREDCFCRL_0294
Ajusco,MZ035QE1,V5XF7A2P,CREDCFCRL_0295
Ajusco,MZ035QKF,V5XF7A06,CREDCFCRL_0296
Ajusco,MZ035QHP,V5XF7A03,CREDCFCRL_0297
Ajusco,MZ035QS2,V5XF7A02,CREDCFCRL_0298
Ajusco,MZ035QRN,V5XF79ZZ,CREDCFCRL_0299
Ajusco,MZ035QTK,V5XF7A07,CREDCFCRL_0300
